IN NO EVENT SHALL MOUNT SINAI HOSPITAL BE LIABLE TO ANY PARTY FOR DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, INCLUDING LOST PROFITS, ARISING OUT OF THE USE OF THIS SOFTWARE AND ITS DOCUMENTATION, EVEN IF MOUNT SINAI HOSPITAL
HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.

MOUNT SINAI HOSPITAL SPECIFICALLY DISCLAIMS ANY IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.
THE SOFTWARE AND ACCOMPANYING DOCUMENTATION, IF ANY, PROVIDED HEREUNDER IS PROVIDED "AS IS". MOUNT SINAI HOSPITAL HAS NO
OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR MODIFICATIONS.

Published research assisted by this document should cite the original publishing author, as well as:
In any articles making use of this data, please refer to:
Stark C, Breitkreutz BJ, Reguly T, Boucher L, Breitkreutz A, Tyers M. BioGRID: A General Repository for Interaction Datasets. Nucleic Acids Res. Jan1;34:D535-9.

This data is distributed for research purposes only, and is provided WITHOUT ANY WARRANTY.

----------------------------------------------------------------------------------------------------

Brief Description of the Columns: 

A.) INTERACTOR_A			Unique ID for Interacting Partner A
B.) INTERACTOR_B			Unique ID for Interacting Partner B
C.) OFFICIAL_SYMBOL_FOR_A
D.) OFFICIAL_SYMBOL_FOR_B
E.) ALIASES_FOR_A			List of common names for geneA, separated by '|'
F.) ALIASES_FOR_B			List of common names for geneB, separated by '|'
G.) EXPERIMENTAL_SYSTEM			System in which the interaction was shown
H.) SOURCE				Author/s of the interaction
I.) PUBMED_ID				PubMed_ID of the paper, separated by ';'
J.) ORGANISM_A_ID				NCBI ID of Gene A Organism
K.) ORGANISM_B_ID				NCBI ID of Gene B Organism

----------------------------------------------------------------------------------------------------
File Version: 2.0.56
----------------------------------------------------------------------------------------------------

INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
EG8655	EG291081	DNCL1	RGD1309427	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Tubb2b|MGC124866	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG64845	DNCL1	Gphn	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Geph	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG60416	DNCL1	Pfkp	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	MGC105718|PFK-C	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG65152	DNCL1	Pfkm	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	PFK-A	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG81918	DNCL1	Pard3	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Par3	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG64862	DNCL1	Map1lc3b	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	MGC93422|Map1lc3|Mpl3	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG29489	DNCL1	Dnch1	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Dnchc1|Dync1h1	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG307169	DNCL1	Mastl predicted	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	N/A	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG29495	DNCL1	Dlgh4	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	PSD95|Sap90	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG171574	DNCL1	N/A	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	Dnm3|dynamin-2	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG24409	DNCL1	Grin2a	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	NMDAR2A|NR2A	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG81522	DNCL1	Mtr	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	methioninesynthase	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG25751	DNCL1	Dnm2	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	DYIIAAB	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG29264	DNCL1	Cyln2	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	CLIP-115	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG24598	DNCL1	Nos1	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	bNOS	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG191573	DNCL1	Grin3a	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	NR3|chi-1	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG8655	EG289623	DNCL1	Hip2 predicted	DLC1|DLC8|LC8|PIN|hdlc1|DYNLL1|DNCLC1|LC8a|MGC126137|MGC126138	E2-25k|Hypg|Lig|Ube2k	Affinity Capture-MS	Navarro-Lerida I (2004)	14760703	9606	10116
EG117542	EG58948	Baiap2	Dlgh3	Irsp53	N/A	Two-hybrid	Hori K (2003)	14596909	10116	10116
EG117542	EG361503	Baiap2	Eps8l1 predicted	Irsp53	N/A	Two-hybrid	Hori K (2003)	14596909	10116	10116
EG117542	EG308113	Baiap2	Magi1	Irsp53	Prp4|Cnksr3	Two-hybrid	Hori K (2003)	14596909	10116	10116
EG117542	EG25252	Baiap2	Dlgh1	Irsp53	Dlg1|SAP97	Two-hybrid	Hori K (2003)	14596909	10116	10116
EG117542	EG113970	Baiap2	Acvrinp1	Irsp53	Acvrip1|Magi2|S-SCAM	Two-hybrid	Hori K (2003)	14596909	10116	10116
EG117542	EG60377	Baiap2	Lin7b	Irsp53	Veli1a|Veli2	Two-hybrid	Hori K (2003)	14596909	10116	10116
EG10458	EG60377	BAIAP2	Lin7b	BAP2|IRSP53	Veli1a|Veli2	Reconstituted Complex	Hori K (2003)	14596909	9606	10116
EG117542	EG60377	Baiap2	Lin7b	Irsp53	Veli1a|Veli2	Affinity Capture-Western	Hori K (2003)	14596909	10116	10116
EG65218	EG29546	Centg1	Homer1	Pike	HOMER1F|Vesl-1	Affinity Capture-Western	Rong R (2003)	14528310	10116	10116
EG65218	EG29547	Centg1	Homer2	Pike	Vesl-2	Affinity Capture-Western	Rong R (2003)	14528310	10116	10116
EG29290	EG309557	Adora1	RGD1563977 predicted	N/A	N/A	Two-hybrid	Lu D (2004)	12974671	10116	10116
EG29290	EG309557	Adora1	RGD1563977 predicted	N/A	N/A	Affinity Capture-Western	Lu D (2004)	12974671	10116	10116
EG29290	EG309557	Adora1	RGD1563977 predicted	N/A	N/A	Reconstituted Complex	Lu D (2004)	12974671	10116	10116
EG25456	EG64845	Glrb	Gphn	N/A	Geph	Affinity Capture-Western	Giesemann T (2003)	12967995	10116	10116
EG25456	EG64303	Glrb	Pfn1	N/A	N/A	Affinity Capture-Western	Giesemann T (2003)	12967995	10116	10116
EG25456	EG268566	Glrb	Gphn	N/A	5730552E08Rik|C230040D23|GPH|GPHRYN|MGC38765|geph|AI662856|BC027112|MGC150066	Affinity Capture-Western	Giesemann T (2003)	12967995	10116	10090
EG25456	DN-183N8.15	Glrb	Pfn1	N/A	Pfn	Affinity Capture-Western	Giesemann T (2003)	12967995	10116	10090
EG64845	EG64303	Gphn	Pfn1	Geph	N/A	Reconstituted Complex	Giesemann T (2003)	12967995	10116	10116
EG64845	EG81531	Gphn	Pfn2	Geph	N/A	Reconstituted Complex	Giesemann T (2003)	12967995	10116	10116
EG64845	EG360891	Gphn	Enah	Geph	N/A	Reconstituted Complex	Giesemann T (2003)	12967995	10116	10116
EG64845	EG360891	Gphn	Enah	Geph	N/A	Affinity Capture-Western	Giesemann T (2003)	12967995	10116	10116
EG362479	EG57455	Tcea1	TCEB3BP1	MGC116288	EloA-BP1|KIAA1138|REXO1|ELOABP1|REX1	Two-hybrid	Tamura K (2003)	12943681	10116	9606
EG1808	EG29419	DPYSL2	Numb	CRMP2|DHPRP2|DRP-2|DRP2	N/A	Affinity Capture-Western	Nishimura T (2003)	12942088	9606	10116
EG24766	EG6330	N/A	SCN4B	NachII|Nav1.2|RII/RIIA|RNSCPIIR|SCN|SCN2A|Scn2a1|Scn2a2|ScpII	N/A	Affinity Capture-Western	Yu FH (2003)	12930796	10116	9606
RP11-399C16.2	EG64158	MLLT10	Tuba1	AF10|DKFZp686E10210|MGC75086	Tuba1a	Affinity Capture-MS	Hussain NK (2003)	12750376	9606	10116
EG117277	EG64158	Epn1	Tuba1	N/A	Tuba1a	Reconstituted Complex	Hussain NK (2003)	12750376	10116	10116
EG64158	EG117277	Tuba1	Epn1	Tuba1a	N/A	Affinity Capture-Western	Hussain NK (2003)	12750376	10116	10116
EG64158	EG60443	Tuba1	Epn2	Tuba1a	N/A	Affinity Capture-Western	Hussain NK (2003)	12750376	10116	10116
EG7157	EG365895	TP53	Hipk1 predicted	TRP53|p53|LFS1	Hipk1	Two-hybrid	Kondo S (2003)	12702766	9606	10116
EG54323	EG85423	Arc	Tfpt	rg3.1	Amida	Affinity Capture-Western	Irie Y (2000)	10644725	10116	10116
EG85423	EG54323	Tfpt	Arc	Amida	rg3.1	Affinity Capture-Western	Irie Y (2000)	10644725	10116	10116
EG65137	RP1-81D8.1	Ruvbl1	PLG	NMP238|Pontin52|Tip49a	DKFZp779M0222	Reconstituted Complex	Hawley SB (2001)	11027681	10116	9606
EG83797	EG24516	Smarcd1	Jun	Baf60a|D15Kz1|AA407987	N/A	Reconstituted Complex	Ito T (2001)	11053448	10090	10116
EG83797	EG314322	Smarcd1	Fos	Baf60a|D15Kz1|AA407987	c-fos	Reconstituted Complex	Ito T (2001)	11053448	10090	10116
EG171379	EG361825	Smarca4	Smarcb1	brg-1	MGC116367	Co-fractionation	Wang W (1996)	8895581	10116	10116
EG29665	EG60	P2rx7	ACTB	N/A	PS1TP5BP1|beta-actin	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
EG29665	EG3312	P2rx7	HSPA8	N/A	HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP1|MGC29929|NIP71|MGC131511	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
EG29665	EG3308	P2rx7	HSPA4	N/A	APG-2|HS24/P52|RY|hsp70|hsp70RY|MGC131852	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
EG29665	EG5803	P2rx7	PTPRZ1	N/A	HPTPZ|PTP18|PTPRZ|PTPZ|RPTPB|HPTPzeta|RPTPbeta|phosphacan	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
EG29665	EG3689	P2rx7	ITGB2	N/A	CD18|LAD|LCAMB|LFA-1|MF17|MFI7|MAC-1	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
EG29665	EG4356	P2rx7	MPP3	N/A	DLG3	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
EG29665	EG3909	P2rx7	LAMA3	N/A	E170|LAMNA|LOCS|lama3a	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
EG29665	EG81	P2rx7	ACTN4	N/A	FSGS|FSGS1|DKFZp686K23158	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
EG29665	RP11-534G20.1	P2rx7	SVIL	N/A	DKFZp686A17191	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
EG29665	RP11-534G20.1	P2rx7	SVIL	N/A	DKFZp686A17191	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
EG29665	EG5803	P2rx7	PTPRZ1	N/A	HPTPZ|PTP18|PTPRZ|PTPZ|RPTPB|HPTPzeta|RPTPbeta|phosphacan	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
EG29665	EG3689	P2rx7	ITGB2	N/A	CD18|LAD|LCAMB|LFA-1|MF17|MFI7|MAC-1	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
EG29665	EG60	P2rx7	ACTB	N/A	PS1TP5BP1|beta-actin	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
EG29665	EG3312	P2rx7	HSPA8	N/A	HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP1|MGC29929|NIP71|MGC131511	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
EG29665	EG3320	P2rx7	HSPCA	N/A	FLJ31884|HSP86|HSP90A|HSPC1|HSPCAL1|HSPN|Hsp89|Hsp90|LAP2|HSP90AA1|HSP90N|HSPCAL4	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
EG29665	EG3308	P2rx7	HSPA4	N/A	APG-2|HS24/P52|RY|hsp70|hsp70RY|MGC131852	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
EG29665	EG4356	P2rx7	MPP3	N/A	DLG3	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
EG29665	EG3909	P2rx7	LAMA3	N/A	E170|LAMNA|LOCS|lama3a	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
EG29665	EG81	P2rx7	ACTN4	N/A	FSGS|FSGS1|DKFZp686K23158	Affinity Capture-Western	Kim M (2001)	11707406	10116	9606
EG29665	EG3320	P2rx7	HSPCA	N/A	FLJ31884|HSP86|HSP90A|HSPC1|HSPCAL1|HSPN|Hsp89|Hsp90|LAP2|HSP90AA1|HSP90N|HSPCAL4	Affinity Capture-MS	Kim M (2001)	11707406	10116	9606
EG553106	EG54241	Ncald	Cltc	N/A	N/A	Affinity Capture-MS	Ivings L (2002)	11964161	10116	10116
EG553106	EG81822	Ncald	Actb	N/A	Actx	Affinity Capture-MS	Ivings L (2002)	11964161	10116	10116
EG553106	EG24383	Ncald	Gapd	N/A	Gapdh	Affinity Capture-MS	Ivings L (2002)	11964161	10116	10116
EG553106	EG54241	Ncald	Cltc	N/A	N/A	Reconstituted Complex	Ivings L (2002)	11964161	10116	10116
EG553106	EG81822	Ncald	Actb	N/A	Actx	Reconstituted Complex	Ivings L (2002)	11964161	10116	10116
EG553106	EG54241	Ncald	Cltc	N/A	N/A	Affinity Capture-Western	Ivings L (2002)	11964161	10116	10116
EG553106	EG81822	Ncald	Actb	N/A	Actx	Affinity Capture-Western	Ivings L (2002)	11964161	10116	10116
EG553106	EG24383	Ncald	Gapd	N/A	Gapdh	Affinity Capture-Western	Ivings L (2002)	11964161	10116	10116
EG83718	EG29753	Clic4	Ywhae	N/A	14-3-3e	Affinity Capture-MS	Suginta W (2001)	11563969	10116	10116
EG83718	EG25578	Clic4	Ywhaz	N/A	14-3-3z	Affinity Capture-MS	Suginta W (2001)	11563969	10116	10116
EG83718	EG81822	Clic4	Actb	N/A	Actx	Affinity Capture-MS	Suginta W (2001)	11563969	10116	10116
EG83718	EG140694	Clic4	Dnm1	N/A	Dnm	Affinity Capture-MS	Suginta W (2001)	11563969	10116	10116
EG83718	EG25578	Clic4	Ywhaz	N/A	14-3-3z	Affinity Capture-Western	Suginta W (2001)	11563969	10116	10116
EG83718	EG81822	Clic4	Actb	N/A	Actx	Affinity Capture-Western	Suginta W (2001)	11563969	10116	10116
EG83718	EG140694	Clic4	Dnm1	N/A	Dnm	Affinity Capture-Western	Suginta W (2001)	11563969	10116	10116
EG83718	EG25578	Clic4	Ywhaz	N/A	14-3-3z	Reconstituted Complex	Suginta W (2001)	11563969	10116	10116
EG83718	EG140694	Clic4	Dnm1	N/A	Dnm	Reconstituted Complex	Suginta W (2001)	11563969	10116	10116
EG25578	EG83718	Ywhaz	Clic4	14-3-3z	N/A	Reconstituted Complex	Suginta W (2001)	11563969	10116	10116
EG140694	EG25932	Dnm1	CLIC4	Dnm	CLIC4L|DKFZP566G223|H1|huH1|p64H1|FLJ38640	Co-fractionation	Suginta W (2001)	11563969	10116	9606
EG83718	EG857	Clic4	CAV1	N/A	CAV|MSTP085|VIP21	Co-fractionation	Suginta W (2001)	11563969	10116	9606
EG25097	EG81822	Pld2	Actb	Pldc	Actx	Affinity Capture-Western	Lee S (2001)	11373276	10116	10116
EG25097	EG81822	Pld2	Actb	Pldc	Actx	Affinity Capture-MS	Lee S (2001)	11373276	10116	10116
EG5338	EG81822	PLD2	Actb	N/A	Actx	Reconstituted Complex	Lee S (2001)	11373276	9606	10116
EG5337	EG81822	PLD1	Actb	N/A	Actx	Reconstituted Complex	Lee S (2001)	11373276	9606	10116
EG79434	EG6721	Rab11b	SREBF2	N/A	SREBP2	Two-hybrid	Stelzl U (2005)	16169070	10116	9606
RP11-2K17.2	EG288353	SUV39H2	Cggbp1 predicted	FLJ23414|KMT1B	N/A	Two-hybrid	Stelzl U (2005)	16169070	9606	10116
EG114034	EG84026	TOE1	Dnaja2	FLJ13949	MGC93325	Two-hybrid	Stelzl U (2005)	16169070	9606	10116
EG2804	EG362598	GOLGB1	RGD1305090 predicted	GCP|GCP372|GIANTIN|GOLIM1	N/A	Two-hybrid	Stelzl U (2005)	16169070	9606	10116
RP23-374O4.2	EG79255	Nfe2l2	Atf4	Nrf2|AI194320	N/A	Two-hybrid	He CH (2001)	11274184	10090	10116
EG79255	RP23-374O4.2	Atf4	Nfe2l2	N/A	Nrf2|AI194320	Affinity Capture-Western	He CH (2001)	11274184	10116	10090
EG25747	EG497778	Ppara	Dut	PPAR	Dutp	Two-hybrid	Chu R (1996)	8910358	10116	10116
EG497778	EG19013	Dut	Ppara	Dutp	Nr1c1|PPAR-alpha|PPARalpha|Ppar|4933429D07Rik|AW742785	Reconstituted Complex	Chu R (1996)	8910358	10116	10090
EG497778	EG19015	Dut	Ppard	Dutp	NUC-1|NUC1|Nr1c2|PPAR-beta|PPAR-delta|PPAR[b]|PPARdelta|Pparb|Pparb/d	Reconstituted Complex	Chu R (1996)	8910358	10116	10090
EG497778	EG19016	Dut	Pparg	Dutp	Nr1c3|PPAR-gamma|PPAR-gamma2|PPARgamma	Reconstituted Complex	Chu R (1996)	8910358	10116	10090
EG497778	EG25747	Dut	Ppara	Dutp	PPAR	Reconstituted Complex	Chu R (1996)	8910358	10116	10116
EG309	EG25676	ANXA6	Rasa1	ANX6|CBP68	GAPX|Rasa	Reconstituted Complex	Davis AJ (1996)	8798684	9606	10116
EG58974	EG140674	Gabarap	Gabrg1	N/A	N/A	Two-hybrid	Kneussel M (2000)	10900017	10116	10116
EG58974	EG29709	Gabarap	Gabrg2	N/A	N/A	Two-hybrid	Kneussel M (2000)	10900017	10116	10116
